4165   0   1.00037 0.00740189  1.01941 0.0063415  1.0165 0.00672063  
4202   0   1.06062 0.00673342  1.06676 0.00616996  1.0784 0.00658007  
4407   0   1.08633 0.00734179  1.06939 0.00609082  1.08718 0.00706059  
4437   0   1.00025 0.00747853  1.01305 0.0065965  1.01016 0.0075721  
4467   0   1.00198 0.00873386  1.03435 0.00608416  1.03417 0.00712205  
4531   0   0.981723 0.00788204  1.01815 0.00631119  0.996391 0.00813068  
4541   0   0.981068 0.00815067  0.982407 0.00755056  0.987529 0.00893661  
4684   0   0.967016 0.00811628  0.953602 0.00646031  0.948549 0.00823744  
4732   0   1.01397 0.00795363  1.00508 0.00758486  1.03464 0.00752898  
4743   0   1.00715 0.00758838  1.01943 0.00631319  1.01638 0.00795161  
4788   0   1.02989 0.00736682  1.03293 0.00623433  1.03782 0.00655784  
4794   0   1.0055 0.00655505  1.01405 0.00675392  1.01425 0.00788779  
4795   0   1.02618 0.00761459  1.00907 0.00608943  1.01348 0.00757083  
4812   0   1.02869 0.0076696  1.00528 0.00681381  1.00875 0.00752441  
4814   0   1.03477 0.00667749  1.01316 0.00640815  1.02997 0.00717906  
4819   0   1.01727 0.00802824  0.986614 0.00914921  1.02563 0.0076545  
4990   0   1.01222 0.00755985  1.0139 0.0059181  1.02045 0.00625749  
5013   0   1.01574 0.00719861  1.0138 0.00764895  1.01956 0.00695136  
5029   0   1.0121 0.00746207  1.02707 0.00726164  1.02384 0.00725915  
5069   0   1.00975 0.00685993  1.01351 0.00613892  1.00337 0.00831193  
5070   0   1.03041 0.00769757  1.02476 0.00633557  1.01503 0.00777199  
6549   16   1.02095 0.00756142  1.00367 0.00802306  1.02519 0.00927831  
6746   6   1.04283 0.00725423  1.01894 0.00889821  1.04992 0.0100826  
6786   6   1.02889 0.0088588  1.01699 0.0070267  1.01862 0.00927179  
6796   0   1.00539 0.00733596  0.995421 0.00686324  1.02213 0.00923252  
6829   80   1.01217 0.00871385  1.02979 0.0088727  1.02176 0.0104538  
6829   197   1.01369 0.00800997  1.02046 0.00697531  1.0217 0.00887524  
6833   17   1.02917 0.00782083  1.01774 0.00756102  1.01709 0.00938422  
6833   125   1.00052 0.00761108  1.01678 0.00832829  1.00696 0.00987574  
6838   43   1.00752 0.00702206  1.02353 0.00711735  1.0186 0.00901322  
7405   66   1.01116 0.00839215  1.02286 0.00744593  1.05097 0.0105026  
7418   54   1.04367 0.00830562  1.00549 0.00786029  1.0332 0.0076627  
7423   68   1.02574 0.00734593  1.01685 0.00651193  1.02477 0.00922849  
7432   31   1.00598 0.00865977  1.01045 0.00765015  1.00856 0.00890032  
7454   61   0.994552 0.00845593  1.0211 0.00785169  1.02261 0.00839438  
7456   4   1.01582 0.00738097  1.0186 0.00644282  1.01933 0.00733346  
7480   13   1.01377 0.00866094  1.01938 0.00781019  1.02189 0.00906153  
7491   91   0.988524 0.00755657  0.985134 0.00730604  1.00452 0.0124401  
7492   20   1.01213 0.00841323  1.01528 0.00730935  1.00545 0.00956565  
7508   73   1.04517 0.00839153  1.01944 0.00762344  1.05928 0.00922355  
7611   17   0.999763 0.0112274  1.02246 0.00785305  1.01266 0.0106792  
7613   44   0.996189 0.011439  1.00877 0.0077734  1.01698 0.00981056  
7617   44   1.02012 0.0091051  1.01933 0.00836029  1.01818 0.0105645  
7617   131   0.998483 0.00837562  1.02364 0.00905988  1.00588 0.010667  
7623   30   1.01377 0.00904782  1.01492 0.00908155  1.0249 0.0102782  
7626   40   1.01638 0.00851631  1.02525 0.0072911  1.02217 0.0101019  
7627   42   1.00522 0.00937899  1.01748 0.00817548  1.00541 0.00784557  
7633   11   0.995525 0.00920774  1.01137 0.00851928  1.00489 0.00970752  
7635   29   1.0047 0.00857637  1.00772 0.00847144  1.00502 0.00962983  
7635   126   0.995301 0.00891225  0.998665 0.00823978  1.01544 0.00950982  
7663   16   0.998034 0.00967713  1.01555 0.0074726  1.00088 0.0092159  
7665   83   1.00177 0.00966639  1.01067 0.00977897  1.00482 0.011919  
7667   0   1.009815 0.0088  1.01055 0.009  1.015675 0.0114  
7667   51   1.01786 0.00796873  1.01043 0.00855256  1.02653 0.0108844  
7668   20   1.01267 0.0114493  1.01821 0.00854152  1.016 0.0112101  
7669   55   0.996903 0.00818088  1.0026 0.00858612  0.979079 0.00918631  
7673   16   0.972536 0.00899341  0.985062 0.00821768  0.995009 0.00950637  
7682   3   1.00203 0.00888685  1.01912 0.00880005  1.02703 0.0097428  
7689   55   1.01016 0.00970447  1.01881 0.00813686  1.0194 0.010781  
7689   145   1.01058 0.00802424  1.00719 0.00838963  1.03098 0.0103344  
7694   31   1.00347 0.00823613  1.04078 0.00787473  1.02741 0.00979013  
7700   83   1.01193 0.00793182  1.02597 0.00742248  1.02448 0.00852026  
7701   72   0.991753 0.00982529  1.01814 0.00847033  1.01671 0.00900175  
7705   0   0.988393 0.00992126  0.985944 0.00956523  0.996032 0.00965928  
7705   79   0.996676 0.0109068  1.02487 0.00919752  1.02344 0.00966167  
7711   91   1.02073 0.00969892  1.02388 0.00827482  1.0299 0.0095849  
7711   210   0.996496 0.00747927  0.996407 0.00794995  1.0017 0.00845582  
7743   54   1.02356 0.0106471  1.02898 0.00829112  1.02717 0.0121212  
7743   144   1.00528 0.00880701  1.01835 0.00832845  1.028 0.00886688  
7743   226   0.989297 0.00968766  0.99704 0.00985254  1.00504 0.00828731  
7745   2   1.01173 0.00976197  1.02081 0.00804633  1.0213 0.00967599  
7749   54   1.01564 0.0092364  0.997313 0.00871243  1.01751 0.0105551  
7750   60   1.00114 0.00891556  1.00976 0.00992956  1.02351 0.0085678  
7751   7   1.00667 0.00943822  1.01466 0.00823505  1.01292 0.00942489  
7752   6   1.0091 0.0082432  1.02098 0.00691131  1.01493 0.00881125  
